country1,country2,nbLinkTmp,frameworkContract
Denmark,Portugal,205,FP6
Lithuania,Portugal,51,FP6
Bulgaria,Portugal,83,FP6
Croatia,Portugal,34,FP6
Latvia,Portugal,50,FP6
Estonia,Portugal,65,FP6
Malta,Portugal,37,FP6
Luxembourg,Portugal,22,FP6
Austria,Sweden,430,FP6
Belgium,Sweden,652,FP6
France,Sweden,1030,FP6
Germany,Sweden,1244,FP6
Italy,Sweden,915,FP6
Greece,Sweden,433,FP6
Ireland,Sweden,245,FP6
Spain,Sweden,822,FP6
Finland,Sweden,440,FP6
Poland,Sweden,476,FP6
Hungary,Sweden,298,FP6
Portugal,Sweden,302,FP6
Netherlands,Sweden,810,FP6
Cyprus,Sweden,51,FP6
Czech Republic,Sweden,308,FP6
Romania,Sweden,143,FP6
Denmark,Sweden,463,FP6
Lithuania,Sweden,90,FP6
Slovenia,Sweden,166,FP6
Bulgaria,Sweden,105,FP6
Croatia,Sweden,37,FP6
Slovakia,Sweden,122,FP6
Latvia,Sweden,76,FP6
Estonia,Sweden,136,FP6
Malta,Sweden,31,FP6
Luxembourg,Sweden,26,FP6
Austria,Netherlands,600,FP6
Belgium,Netherlands,935,FP6
France,Netherlands,1399,FP6
Germany,Netherlands,1702,FP6
Italy,Netherlands,1246,FP6
Greece,Netherlands,615,FP6
Ireland,Netherlands,310,FP6
Finland,Netherlands,510,FP6
Hungary,Netherlands,416,FP6
Cyprus,Netherlands,81,FP6
Czech Republic,Netherlands,416,FP6
Denmark,Netherlands,581,FP6
Lithuania,Netherlands,102,FP6
Bulgaria,Netherlands,167,FP6
Croatia,Netherlands,54,FP6
Latvia,Netherlands,89,FP6
Estonia,Netherlands,136,FP6
Malta,Netherlands,42,FP6
Luxembourg,Netherlands,42,FP6
Austria,Cyprus,63,FP6
Belgium,Cyprus,77,FP6
Bulgaria,Cyprus,51,FP6
Croatia,Cyprus,22,FP6
Austria,Czech Republic,262,FP6
Belgium,Czech Republic,354,FP6
Cyprus,Czech Republic,57,FP6
Bulgaria,Czech Republic,99,FP6
Croatia,Czech Republic,29,FP6
Austria,Romania,151,FP6
Belgium,Romania,170,FP6
France,Romania,259,FP6
Germany,Romania,311,FP6
Italy,Romania,259,FP6
Greece,Romania,199,FP6
Ireland,Romania,72,FP6
Finland,Romania,100,FP6
Poland,Romania,203,FP6
Hungary,Romania,152,FP6
Portugal,Romania,108,FP6
Netherlands,Romania,197,FP6
Cyprus,Romania,56,FP6
Czech Republic,Romania,114,FP6
Denmark,Romania,89,FP6
Lithuania,Romania,75,FP6
Bulgaria,Romania,132,FP6
Croatia,Romania,35,FP6
Latvia,Romania,59,FP6
Estonia,Romania,69,FP6
Malta,Romania,38,FP6
Luxembourg,Romania,14,FP6
Austria,Denmark,284,FP6
Belgium,Denmark,443,FP6
Cyprus,Denmark,47,FP6
Czech Republic,Denmark,228,FP6
Bulgaria,Denmark,95,FP6
Croatia,Denmark,36,FP6
Austria,Lithuania,77,FP6
Belgium,Lithuania,92,FP6
France,Lithuania,132,FP6
Germany,Lithuania,176,FP6
Italy,Lithuania,149,FP6
Greece,Lithuania,97,FP6
Ireland,Lithuania,48,FP6
Finland,Lithuania,68,FP6
Hungary,Lithuania,91,FP6
Cyprus,Lithuania,39,FP6
Czech Republic,Lithuania,91,FP6
Denmark,Lithuania,69,FP6
Bulgaria,Lithuania,64,FP6
Croatia,Lithuania,14,FP6
Latvia,Lithuania,71,FP6
Estonia,Lithuania,75,FP6
Austria,Slovenia,188,FP6
Belgium,Slovenia,212,FP6
France,Slovenia,284,FP6
Germany,Slovenia,365,FP6
Italy,Slovenia,299,FP6
Greece,Slovenia,154,FP6
Ireland,Slovenia,82,FP6
Finland,Slovenia,114,FP6
Poland,Slovenia,189,FP6
Hungary,Slovenia,145,FP6
Portugal,Slovenia,98,FP6
Netherlands,Slovenia,230,FP6
Cyprus,Slovenia,51,FP6
Czech Republic,Slovenia,139,FP6
Romania,Slovenia,97,FP6
Denmark,Slovenia,129,FP6
Lithuania,Slovenia,82,FP6
Bulgaria,Slovenia,84,FP6
Croatia,Slovenia,46,FP6
Slovakia,Slovenia,88,FP6
Latvia,Slovenia,58,FP6
Estonia,Slovenia,72,FP6
Malta,Slovenia,31,FP6
Luxembourg,Slovenia,20,FP6
Austria,Croatia,46,FP6
Belgium,Croatia,49,FP6
Bulgaria,Croatia,37,FP6
Austria,Bulgaria,132,FP6
Belgium,Bulgaria,135,FP6
Austria,Slovakia,143,FP6
Belgium,Slovakia,138,FP6
France,Slovakia,201,FP6
Germany,Slovakia,254,FP6
Italy,Slovakia,212,FP6
Greece,Slovakia,105,FP6
Ireland,Slovakia,58,FP6
Finland,Slovakia,95,FP6
Poland,Slovakia,167,FP6
Hungary,Slovakia,148,FP6
Portugal,Slovakia,80,FP6
Netherlands,Slovakia,165,FP6
Cyprus,Slovakia,45,FP6
Czech Republic,Slovakia,130,FP6
Romania,Slovakia,97,FP6
Denmark,Slovakia,91,FP6
Lithuania,Slovakia,68,FP6
Bulgaria,Slovakia,81,FP6
Croatia,Slovakia,27,FP6
Latvia,Slovakia,60,FP6
Estonia,Slovakia,67,FP6
Malta,Slovakia,31,FP6
Luxembourg,Slovakia,13,FP6
Austria,Latvia,62,FP6
Belgium,Latvia,75,FP6
France,Latvia,102,FP6
Germany,Latvia,137,FP6
Italy,Latvia,106,FP6
Greece,Latvia,63,FP6
Ireland,Latvia,35,FP6
Finland,Latvia,65,FP6
Hungary,Latvia,72,FP6
Cyprus,Latvia,37,FP6
Czech Republic,Latvia,59,FP6
Denmark,Latvia,55,FP6
Bulgaria,Latvia,50,FP6
Croatia,Latvia,21,FP6
Estonia,Latvia,64,FP6
Austria,Estonia,100,FP6
Belgium,Estonia,115,FP6
Cyprus,Estonia,43,FP6
Czech Republic,Estonia,81,FP6
Denmark,Estonia,102,FP6
Bulgaria,Estonia,61,FP6
Croatia,Estonia,22,FP6
Austria,Malta,35,FP6
Belgium,Malta,36,FP6
France,Malta,56,FP6
Germany,Malta,62,FP6
Italy,Malta,71,FP6
Greece,Malta,52,FP6
Ireland,Malta,21,FP6
Finland,Malta,22,FP6
Hungary,Malta,47,FP6
Cyprus,Malta,34,FP6
Czech Republic,Malta,33,FP6
Denmark,Malta,23,FP6
Lithuania,Malta,31,FP6
Bulgaria,Malta,33,FP6
Croatia,Malta,9,FP6
Latvia,Malta,28,FP6
Estonia,Malta,34,FP6
Luxembourg,Malta,3,FP6
Austria,Luxembourg,34,FP6
Belgium,Luxembourg,60,FP6
France,Luxembourg,61,FP6
Germany,Luxembourg,68,FP6
Italy,Luxembourg,52,FP6
Greece,Luxembourg,39,FP6
Ireland,Luxembourg,21,FP6
Finland,Luxembourg,26,FP6
Hungary,Luxembourg,17,FP6
Cyprus,Luxembourg,13,FP6
Czech Republic,Luxembourg,19,FP6
Denmark,Luxembourg,17,FP6
Lithuania,Luxembourg,7,FP6
Bulgaria,Luxembourg,11,FP6
Croatia,Luxembourg,6,FP6
Latvia,Luxembourg,12,FP6
Estonia,Luxembourg,10,FP6
Austria,France,1177,FP7
Finland,France,934,FP7
Czech Republic,France,642,FP7
Denmark,France,947,FP7
Belgium,France,2102,FP7
Estonia,France,236,FP7
Cyprus,France,179,FP7
Croatia,France,153,FP7
Bulgaria,France,272,FP7
Austria,Germany,1733,FP7
France,Germany,4086,FP7
Finland,Germany,1236,FP7
Czech Republic,Germany,813,FP7
Denmark,Germany,1277,FP7
Belgium,Germany,2558,FP7
Estonia,Germany,303,FP7
Cyprus,Germany,215,FP7
Croatia,Germany,194,FP7
Bulgaria,Germany,338,FP7
Austria,Greece,447,FP7
France,Greece,1245,FP7
Germany,Greece,1509,FP7
Finland,Greece,400,FP7
Czech Republic,Greece,276,FP7
Denmark,Greece,356,FP7
Belgium,Greece,771,FP7
Estonia,Greece,138,FP7
Cyprus,Greece,207,FP7
Croatia,Greece,117,FP7
Bulgaria,Greece,198,FP7
Austria,Italy,1143,FP7
France,Italy,3084,FP7
Germany,Italy,3839,FP7
Greece,Italy,1284,FP7
Finland,Italy,862,FP7
Ireland,Italy,652,FP7
Czech Republic,Italy,629,FP7
Denmark,Italy,878,FP7
Belgium,Italy,1912,FP7
Hungary,Italy,628,FP7
Estonia,Italy,245,FP7
Cyprus,Italy,200,FP7
Croatia,Italy,163,FP7
Bulgaria,Italy,296,FP7
Austria,Portugal,322,FP7
France,Portugal,844,FP7
Germany,Portugal,1011,FP7
Greece,Portugal,458,FP7
Italy,Portugal,863,FP7
Finland,Portugal,287,FP7
Netherlands,Portugal,625,FP7
Ireland,Portugal,264,FP7
Czech Republic,Portugal,176,FP7
Denmark,Portugal,294,FP7
Belgium,Portugal,553,FP7
Poland,Portugal,298,FP7
Luxembourg,Portugal,55,FP7
Hungary,Portugal,219,FP7
Estonia,Portugal,101,FP7
Cyprus,Portugal,92,FP7
Latvia,Portugal,64,FP7
Croatia,Portugal,70,FP7
Bulgaria,Portugal,122,FP7
Malta,Portugal,53,FP7
Lithuania,Portugal,69,FP7
Austria,Spain,1053,FP7
France,Spain,2821,FP7
Germany,Spain,3453,FP7
Greece,Spain,1215,FP7
Italy,Spain,2911,FP7
Portugal,Spain,948,FP7
Finland,Spain,895,FP7
Netherlands,Spain,2024,FP7
Ireland,Spain,686,FP7
Czech Republic,Spain,607,FP7
Denmark,Spain,896,FP7
Slovenia,Spain,375,FP7
Belgium,Spain,1803,FP7
Poland,Spain,867,FP7
Luxembourg,Spain,103,FP7
Hungary,Spain,598,FP7
Estonia,Spain,244,FP7
Cyprus,Spain,203,FP7
Romania,Spain,505,FP7
Latvia,Spain,140,FP7
Croatia,Spain,159,FP7
Slovakia,Spain,211,FP7
Bulgaria,Spain,284,FP7
Malta,Spain,97,FP7
Lithuania,Spain,181,FP7
Austria,Sweden,627,FP7
France,Sweden,1589,FP7
Germany,Sweden,2031,FP7
Greece,Sweden,562,FP7
Italy,Sweden,1429,FP7
Portugal,Sweden,418,FP7
Spain,Sweden,1358,FP7
Finland,Sweden,645,FP7
Netherlands,Sweden,1314,FP7
Ireland,Sweden,371,FP7
Czech Republic,Sweden,347,FP7
Denmark,Sweden,625,FP7
Slovenia,Sweden,231,FP7
Belgium,Sweden,1078,FP7
Poland,Sweden,490,FP7
Luxembourg,Sweden,69,FP7
Hungary,Sweden,353,FP7
Estonia,Sweden,184,FP7
Cyprus,Sweden,94,FP7
Romania,Sweden,272,FP7
Latvia,Sweden,94,FP7
Croatia,Sweden,98,FP7
Slovakia,Sweden,123,FP7
Bulgaria,Sweden,138,FP7
Malta,Sweden,53,FP7
Lithuania,Sweden,112,FP7
Austria,United Kingdom,1348,FP7
France,United Kingdom,3686,FP7
Germany,United Kingdom,4735,FP7
Greece,United Kingdom,1424,FP7
Italy,United Kingdom,3527,FP7
Portugal,United Kingdom,966,FP7
Spain,United Kingdom,3345,FP7
Sweden,United Kingdom,1887,FP7
Finland,United Kingdom,1103,FP7
Netherlands,United Kingdom,2963,FP7
Ireland,United Kingdom,892,FP7
Czech Republic,United Kingdom,706,FP7
Denmark,United Kingdom,1235,FP7
Slovenia,United Kingdom,459,FP7
Belgium,United Kingdom,2329,FP7
Poland,United Kingdom,1068,FP7
Luxembourg,United Kingdom,139,FP7
Hungary,United Kingdom,719,FP7
Estonia,United Kingdom,278,FP7
Cyprus,United Kingdom,239,FP7
Romania,United Kingdom,513,FP7
Latvia,United Kingdom,145,FP7
Croatia,United Kingdom,188,FP7
Slovakia,United Kingdom,249,FP7
Bulgaria,United Kingdom,339,FP7
Malta,United Kingdom,92,FP7
Lithuania,United Kingdom,216,FP7
Austria,Netherlands,943,FP7
France,Netherlands,2369,FP7
Germany,Netherlands,3100,FP7
Greece,Netherlands,846,FP7
Italy,Netherlands,2176,FP7
Finland,Netherlands,787,FP7
Ireland,Netherlands,554,FP7
Czech Republic,Netherlands,504,FP7
Denmark,Netherlands,883,FP7
Belgium,Netherlands,1768,FP7
Luxembourg,Netherlands,89,FP7
Hungary,Netherlands,520,FP7
Estonia,Netherlands,202,FP7
Cyprus,Netherlands,142,FP7
Latvia,Netherlands,113,FP7
Croatia,Netherlands,129,FP7
Bulgaria,Netherlands,228,FP7
Malta,Netherlands,62,FP7
Lithuania,Netherlands,138,FP7
Austria,Ireland,282,FP7
France,Ireland,666,FP7
Germany,Ireland,831,FP7
Greece,Ireland,316,FP7
Finland,Ireland,252,FP7
Czech Republic,Ireland,146,FP7
Denmark,Ireland,268,FP7
Belgium,Ireland,424,FP7
Hungary,Ireland,161,FP7
Estonia,Ireland,78,FP7
Cyprus,Ireland,80,FP7
Croatia,Ireland,47,FP7
Bulgaria,Ireland,93,FP7
Austria,Denmark,423,FP7
Czech Republic,Denmark,218,FP7
Belgium,Denmark,682,FP7
Cyprus,Denmark,71,FP7
Croatia,Denmark,67,FP7
Bulgaria,Denmark,103,FP7
Austria,Finland,460,FP7
Czech Republic,Finland,223,FP7
Denmark,Finland,403,FP7
Belgium,Finland,631,FP7
Estonia,Finland,147,FP7
Cyprus,Finland,73,FP7
Croatia,Finland,60,FP7
Bulgaria,Finland,106,FP7
Austria,Slovenia,218,FP7
France,Slovenia,377,FP7
Germany,Slovenia,508,FP7
Greece,Slovenia,196,FP7
Italy,Slovenia,427,FP7
Portugal,Slovenia,144,FP7
Finland,Slovenia,167,FP7
Netherlands,Slovenia,321,FP7
Ireland,Slovenia,130,FP7
Czech Republic,Slovenia,123,FP7
Denmark,Slovenia,151,FP7
Belgium,Slovenia,294,FP7
Poland,Slovenia,175,FP7
Luxembourg,Slovenia,26,FP7
Hungary,Slovenia,134,FP7
Estonia,Slovenia,71,FP7
Cyprus,Slovenia,62,FP7
Romania,Slovenia,118,FP7
Latvia,Slovenia,50,FP7
Croatia,Slovenia,77,FP7
Slovakia,Slovenia,72,FP7
Bulgaria,Slovenia,91,FP7
Malta,Slovenia,27,FP7
Lithuania,Slovenia,59,FP7
Austria,Belgium,812,FP7
Austria,Czech Republic,335,FP7
Belgium,Czech Republic,438,FP7
Cyprus,Czech Republic,70,FP7
Croatia,Czech Republic,52,FP7
Bulgaria,Czech Republic,115,FP7
Austria,Poland,423,FP7
France,Poland,917,FP7
Germany,Poland,1162,FP7
Greece,Poland,442,FP7
Italy,Poland,951,FP7
Finland,Poland,363,FP7
Netherlands,Poland,724,FP7
Ireland,Poland,233,FP7
Czech Republic,Poland,283,FP7
Denmark,Poland,314,FP7
Belgium,Poland,610,FP7
Luxembourg,Poland,51,FP7
Hungary,Poland,276,FP7
Estonia,Poland,125,FP7
Cyprus,Poland,91,FP7
Latvia,Poland,87,FP7
Croatia,Poland,85,FP7
Bulgaria,Poland,156,FP7
Malta,Poland,59,FP7
Lithuania,Poland,110,FP7
Austria,Luxembourg,64,FP7
France,Luxembourg,124,FP7
Germany,Luxembourg,149,FP7
Greece,Luxembourg,65,FP7
Italy,Luxembourg,112,FP7
Finland,Luxembourg,54,FP7
Ireland,Luxembourg,35,FP7
Czech Republic,Luxembourg,31,FP7
Denmark,Luxembourg,40,FP7
Belgium,Luxembourg,107,FP7
Hungary,Luxembourg,34,FP7
Estonia,Luxembourg,32,FP7
Cyprus,Luxembourg,23,FP7
Latvia,Luxembourg,26,FP7
Croatia,Luxembourg,19,FP7
Bulgaria,Luxembourg,28,FP7
Lithuania,Luxembourg,23,FP7
Austria,Hungary,326,FP7
France,Hungary,612,FP7
Germany,Hungary,798,FP7
Greece,Hungary,282,FP7
Finland,Hungary,249,FP7
Czech Republic,Hungary,199,FP7
Denmark,Hungary,224,FP7
Belgium,Hungary,466,FP7
Estonia,Hungary,97,FP7
Cyprus,Hungary,58,FP7
Croatia,Hungary,69,FP7
Bulgaria,Hungary,122,FP7
Austria,Estonia,142,FP7
Czech Republic,Estonia,78,FP7
Denmark,Estonia,117,FP7
Belgium,Estonia,162,FP7
Cyprus,Estonia,47,FP7
Croatia,Estonia,44,FP7
Bulgaria,Estonia,67,FP7
Austria,Cyprus,86,FP7
Belgium,Cyprus,127,FP7
Croatia,Cyprus,35,FP7
Bulgaria,Cyprus,55,FP7
Austria,Romania,230,FP7
France,Romania,484,FP7
Germany,Romania,567,FP7
Greece,Romania,273,FP7
Italy,Romania,524,FP7
Portugal,Romania,210,FP7
Finland,Romania,196,FP7
Netherlands,Romania,350,FP7
Ireland,Romania,123,FP7
Czech Republic,Romania,152,FP7
Denmark,Romania,157,FP7
Belgium,Romania,333,FP7
Poland,Romania,234,FP7
Luxembourg,Romania,35,FP7
Hungary,Romania,188,FP7
Estonia,Romania,89,FP7
Cyprus,Romania,74,FP7
Latvia,Romania,73,FP7
Croatia,Romania,78,FP7
Bulgaria,Romania,154,FP7
Malta,Romania,53,FP7
Lithuania,Romania,85,FP7
Austria,Latvia,73,FP7
France,Latvia,130,FP7
Germany,Latvia,159,FP7
Greece,Latvia,78,FP7
Italy,Latvia,135,FP7
Finland,Latvia,67,FP7
Ireland,Latvia,50,FP7
Czech Republic,Latvia,55,FP7
Denmark,Latvia,65,FP7
Belgium,Latvia,100,FP7
Hungary,Latvia,69,FP7
Estonia,Latvia,63,FP7
Cyprus,Latvia,41,FP7
Croatia,Latvia,36,FP7
Bulgaria,Latvia,47,FP7
Austria,Croatia,90,FP7
Belgium,Croatia,105,FP7
Bulgaria,Croatia,61,FP7
Austria,Slovakia,132,FP7
France,Slovakia,210,FP7
Germany,Slovakia,274,FP7
Greece,Slovakia,119,FP7
Italy,Slovakia,222,FP7
Portugal,Slovakia,82,FP7
Finland,Slovakia,93,FP7
Netherlands,Slovakia,174,FP7
Ireland,Slovakia,73,FP7
Czech Republic,Slovakia,107,FP7
Denmark,Slovakia,86,FP7
Belgium,Slovakia,156,FP7
Poland,Slovakia,113,FP7
Luxembourg,Slovakia,22,FP7
Hungary,Slovakia,111,FP7
Estonia,Slovakia,48,FP7
Cyprus,Slovakia,35,FP7
Romania,Slovakia,96,FP7
Latvia,Slovakia,38,FP7
Croatia,Slovakia,35,FP7
Bulgaria,Slovakia,65,FP7
Malta,Slovakia,30,FP7
Lithuania,Slovakia,47,FP7
Austria,Bulgaria,159,FP7
Belgium,Bulgaria,203,FP7
Austria,Malta,49,FP7
France,Malta,90,FP7
Germany,Malta,98,FP7
Greece,Malta,76,FP7
Italy,Malta,105,FP7
Finland,Malta,32,FP7
Ireland,Malta,44,FP7
Czech Republic,Malta,40,FP7
Denmark,Malta,33,FP7
Belgium,Malta,64,FP7
Luxembourg,Malta,18,FP7
Hungary,Malta,39,FP7
Estonia,Malta,39,FP7
Cyprus,Malta,47,FP7
Latvia,Malta,38,FP7
Croatia,Malta,26,FP7
Bulgaria,Malta,52,FP7
Lithuania,Malta,24,FP7
Austria,Lithuania,92,FP7
France,Lithuania,174,FP7
Germany,Lithuania,217,FP7
Greece,Lithuania,110,FP7
Italy,Lithuania,189,FP7
Finland,Lithuania,93,FP7
Ireland,Lithuania,58,FP7
Czech Republic,Lithuania,74,FP7
Denmark,Lithuania,86,FP7
Belgium,Lithuania,123,FP7
Hungary,Lithuania,80,FP7
Estonia,Lithuania,64,FP7
Cyprus,Lithuania,42,FP7
Latvia,Lithuania,54,FP7
Croatia,Lithuania,27,FP7
Bulgaria,Lithuania,69,FP7
Austria,Belgium,366,H2020
Austria,Denmark,197,H2020
Belgium,Denmark,280,H2020
Czech Republic,Denmark,109,H2020
Bulgaria,Denmark,45,H2020
Croatia,Denmark,66,H2020
Cyprus,Denmark,39,H2020
Austria,Finland,171,H2020
Belgium,Finland,272,H2020
Denmark,Finland,164,H2020
Czech Republic,Finland,92,H2020
Bulgaria,Finland,57,H2020
Croatia,Finland,39,H2020
Cyprus,Finland,35,H2020
Estonia,Finland,66,H2020
Austria,France,475,H2020
Belgium,France,797,H2020
Denmark,France,366,H2020
Finland,France,346,H2020
Czech Republic,France,249,H2020
Bulgaria,France,98,H2020
Croatia,France,101,H2020
Cyprus,France,93,H2020
Estonia,France,82,H2020
Austria,Germany,700,H2020
Belgium,Germany,982,H2020
Denmark,Germany,491,H2020
Finland,Germany,433,H2020
France,Germany,1443,H2020
Czech Republic,Germany,314,H2020
Bulgaria,Germany,138,H2020
Croatia,Germany,126,H2020
Cyprus,Germany,111,H2020
Estonia,Germany,112,H2020
Austria,Italy,483,H2020
Belgium,Italy,805,H2020
Denmark,Italy,368,H2020
Finland,Italy,360,H2020
France,Italy,1167,H2020
Germany,Italy,1468,H2020
Czech Republic,Italy,268,H2020
Ireland,Italy,303,H2020
Hungary,Italy,211,H2020
Greece,Italy,613,H2020
Bulgaria,Italy,118,H2020
Croatia,Italy,118,H2020
Cyprus,Italy,122,H2020
Estonia,Italy,101,H2020
Austria,Luxembourg,48,H2020
Belgium,Luxembourg,68,H2020
Denmark,Luxembourg,29,H2020
Finland,Luxembourg,31,H2020
France,Luxembourg,89,H2020
Germany,Luxembourg,110,H2020
Italy,Luxembourg,74,H2020
Czech Republic,Luxembourg,25,H2020
Ireland,Luxembourg,23,H2020
Hungary,Luxembourg,28,H2020
Greece,Luxembourg,61,H2020
Bulgaria,Luxembourg,16,H2020
Croatia,Luxembourg,21,H2020
Cyprus,Luxembourg,21,H2020
Estonia,Luxembourg,20,H2020
Latvia,Luxembourg,18,H2020
Lithuania,Luxembourg,21,H2020
Austria,Netherlands,395,H2020
Belgium,Netherlands,699,H2020
Denmark,Netherlands,358,H2020
Finland,Netherlands,309,H2020
France,Netherlands,844,H2020
Germany,Netherlands,1180,H2020
Italy,Netherlands,871,H2020
Luxembourg,Netherlands,63,H2020
Czech Republic,Netherlands,209,H2020
Ireland,Netherlands,245,H2020
Hungary,Netherlands,166,H2020
Greece,Netherlands,363,H2020
Bulgaria,Netherlands,80,H2020
Croatia,Netherlands,94,H2020
Cyprus,Netherlands,72,H2020
Estonia,Netherlands,90,H2020
Latvia,Netherlands,79,H2020
Lithuania,Netherlands,85,H2020
Malta,Netherlands,37,H2020
Austria,Poland,192,H2020
Belgium,Poland,267,H2020
Denmark,Poland,153,H2020
Finland,Poland,128,H2020
France,Poland,355,H2020
Germany,Poland,421,H2020
Italy,Poland,372,H2020
Luxembourg,Poland,33,H2020
Netherlands,Poland,282,H2020
Czech Republic,Poland,134,H2020
Ireland,Poland,119,H2020
Hungary,Poland,108,H2020
Greece,Poland,193,H2020
Bulgaria,Poland,80,H2020
Croatia,Poland,72,H2020
Cyprus,Poland,57,H2020
Estonia,Poland,57,H2020
Latvia,Poland,66,H2020
Lithuania,Poland,67,H2020
Malta,Poland,20,H2020
Austria,Slovenia,122,H2020
Belgium,Slovenia,138,H2020
Denmark,Slovenia,82,H2020
Finland,Slovenia,75,H2020
France,Slovenia,170,H2020
